Team;Driver;Compound;LapTime;Year;GP
McLaren;RIC;HARD;0 days 00:01:34.453000;2022;British Grand Prix
McLaren;NOR;SOFT;0 days 00:01:32.239400;2022;British Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:34.295933333;2022;British Grand Prix
McLaren;NOR;HARD;0 days 00:01:32.466000;2022;British Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:23.163357142;2020;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:23.412000;2020;Spanish Grand Prix
McLaren;PIA;SOFT;0 days 00:01:15.737317073;2023;São Paulo Grand Prix
McLaren;NOR;HARD;0 days 00:01:39.541000;2022;French Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:40.322562500;2022;French Grand Prix
McLaren;RIC;HARD;0 days 00:01:39.743483870;2022;French Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:09.565477272;2019;Austrian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:10.599173913;2019;Austrian Grand Prix
McLaren;SAI;HARD;0 days 00:01:09.318185185;2019;Austrian Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:10.420657142;2019;Austrian Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:35.844500;2023;Las Vegas Grand Prix
McLaren;PIA;HARD;0 days 00:01:38.402000;2023;Las Vegas Grand Prix
McLaren;RIC;SOFT;0 days 00:01:25.558100;2022;Hungarian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:24.957793103;2022;Hungarian Grand Prix
McLaren;RIC;HARD;0 days 00:01:24.927529411;2022;Hungarian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:24.783500;2022;Hungarian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:24.691692307;2022;Hungarian Grand Prix
McLaren;NOR;HARD;0 days 00:01:23.821521739;2022;Hungarian Grand Prix
McLaren;NOR;HARD;0 days 00:01:20.988866666;2020;Hungarian Grand Prix
McLaren;SAI;HARD;0 days 00:01:20.605625;2020;Hungarian Grand Prix
McLaren;RIC;HARD;0 days 00:01:17.272071428;2022;Dutch Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:21.814000;2020;Hungarian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:30.929846153;2019;Australian Grand Prix
McLaren;NOR;HARD;0 days 00:01:55.082785714;2022;Belgian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:54.720863636;2022;Belgian Grand Prix
McLaren;RIC;HARD;0 days 00:01:55.353888888;2022;Belgian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:54.762666666;2022;Belgian Grand Prix
McLaren;SAI;SOFT;0 days 00:01:09.390600;2020;Styrian Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:08.642218750;2020;Styrian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:09.490434782;2020;Styrian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:08.023290322;2020;Styrian Grand Prix
McLaren;NOR;HARD;0 days 00:01:31.092939393;2020;British Grand Prix
McLaren;NOR;SOFT;0 days 00:01:32.992000;2020;British Grand Prix
McLaren;SAI;HARD;0 days 00:01:31.094966666;2020;British Grand Prix
McLaren;SAI;SOFT;0 days 00:01:32.859250;2020;British Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:40.745687500;2022;French Grand Prix
McLaren;NOR;HARD;0 days 00:01:29.846410256;2019;Australian Grand Prix
McLaren;PIA;HARD;0 days 00:01:40.081428571;2023;Singapore Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:18.158538461;2022;Dutch Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:22.907150;2020;Spanish Grand Prix
McLaren;RIC;SOFT;0 days 00:01:28.784730769;2022;Spanish Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:28.830866666;2022;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:28.061432432;2022;Spanish Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:29.381117647;2022;Spanish Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:24.684884615;2020;Italian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:25.925812500;2020;Italian Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:35.128500;2020;Bahrain Grand Prix
McLaren;SAI;SOFT;0 days 00:01:25.824894736;2020;Italian Grand Prix
McLaren;SAI;HARD;0 days 00:01:36.101967741;2019;French Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:39.073500;2023;Japanese Grand Prix
McLaren;NOR;HARD;0 days 00:01:21.673933333;2019;Hungarian Grand Prix
McLaren;SAI;HARD;0 days 00:01:21.776000;2019;Hungarian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:37.609533333;2019;French Grand Prix
McLaren;NOR;HARD;0 days 00:01:36.248066666;2019;French Grand Prix
McLaren;PIA;HARD;0 days 00:01:37.885285714;2023;Japanese Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:38.734454545;2023;Japanese Grand Prix
McLaren;NOR;HARD;0 days 00:01:37.109875;2023;Japanese Grand Prix
McLaren;RIC;SOFT;0 days 00:01:34.223700;2022;Miami Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:35.797538461;2022;Miami Grand Prix
McLaren;RIC;HARD;0 days 00:01:34.618875;2022;Miami Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:22.953666666;2020;Tuscan Grand Prix
McLaren;NOR;SOFT;0 days 00:01:22.386777777;2020;Tuscan Grand Prix
McLaren;NOR;HARD;0 days 00:01:42.508533333;2022;United States Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:44.611750;2022;United States Grand Prix
McLaren;RIC;HARD;0 days 00:01:43.616147058;2022;United States Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:45.132666666;2022;United States Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:23.331333333;2022;Emilia Romagna Grand Prix
McLaren;RIC;HARD;0 days 00:01:22.166200;2022;Emilia Romagna Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:21.726095238;2022;Emilia Romagna Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:37.675470588;2019;French Grand Prix
McLaren;RIC;INTERMEDIATE;0 days 00:01:49.472947368;2022;Japanese Grand Prix
McLaren;NOR;INTERMEDIATE;0 days 00:01:49.708857142;2022;Japanese Grand Prix
McLaren;SAI;SOFT;0 days 00:01:18.854142857;2019;German Grand Prix
McLaren;SAI;SOFT;0 days 00:01:23.325000;2020;Spanish Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:19.636600;2022;Canadian Grand Prix
McLaren;RIC;HARD;0 days 00:01:18.965465116;2022;Canadian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:18.548473684;2022;Canadian Grand Prix
McLaren;NOR;HARD;0 days 00:01:19.457085714;2022;Canadian Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:27.731758620;2023;Qatar Grand Prix
McLaren;PIA;HARD;0 days 00:01:25.288000;2023;Qatar Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:27.712933333;2023;Qatar Grand Prix
McLaren;NOR;HARD;0 days 00:01:25.146272727;2023;Qatar Grand Prix
McLaren;SAI;SOFT;0 days 00:01:10.387157894;2020;Austrian Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:08.861636363;2020;Austrian Grand Prix
McLaren;SAI;HARD;0 days 00:01:09.448750;2020;Austrian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:10.179052631;2020;Austrian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:08.681000;2020;Austrian Grand Prix
McLaren;RIC;SOFT;0 days 00:01:16.757285714;2022;Dutch Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:27.309903225;2022;Italian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:48.691470588;2022;Azerbaijan Grand Prix
McLaren;RIC;HARD;0 days 00:01:50.613689655;2022;Azerbaijan Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:50.874312500;2022;Azerbaijan Grand Prix
McLaren;NOR;HARD;0 days 00:01:48.941357142;2022;Azerbaijan Grand Prix
McLaren;NOR;HARD;0 days 00:01:49.981793103;2020;Belgian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:52.178125;2020;Belgian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:50.763222222;2022;Singapore Grand Prix
McLaren;RIC;SOFT;0 days 00:01:51.885466666;2022;Singapore Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:37.750136363;2019;Bahrain Grand Prix
McLaren;NOR;SOFT;0 days 00:01:37.363346153;2019;Bahrain Grand Prix
McLaren;RIC;HARD;0 days 00:01:18.498217391;2022;Monaco Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:15.951666666;2022;Monaco Grand Prix
McLaren;NOR;HARD;0 days 00:01:17.709600;2022;Monaco Grand Prix
McLaren;NOR;HARD;0 days 00:01:09.165500;2020;Austrian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:25.267181818;2022;Italian Grand Prix
McLaren;SAI;SOFT;0 days 00:01:36.873750;2020;Bahrain Grand Prix
McLaren;SAI;HARD;0 days 00:01:40.323387096;2019;Chinese Grand Prix
McLaren;NOR;SOFT;0 days 00:01:19.263500;2021;Emilia Romagna Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:36.306000;2021;Bahrain Grand Prix
McLaren;NOR;HARD;0 days 00:01:35.001636363;2021;Bahrain Grand Prix
McLaren;NOR;HARD;0 days 00:01:14.901280;2021;Dutch Grand Prix
McLaren;NOR;HARD;0 days 00:01:33.064423076;2023;Miami Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:33.017333333;2023;British Grand Prix
McLaren;PIA;HARD;0 days 00:01:31.347533333;2023;British Grand Prix
McLaren;NOR;SOFT;0 days 00:01:34.775500;2023;Miami Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:18.712000;2023;Monaco Grand Prix
McLaren;PIA;HARD;0 days 00:01:33.622163265;2023;Miami Grand Prix
McLaren;NOR;HARD;0 days 00:01:14.251909090;2019;Brazilian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:23.160529411;2021;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:22.399300;2021;Spanish Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:23.327833333;2021;Spanish Grand Prix
McLaren;PIA;SOFT;0 days 00:01:34.495000;2023;Miami Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:42.050150;2021;Russian Grand Prix
McLaren;RIC;HARD;0 days 00:01:40.106956521;2021;Russian Grand Prix
McLaren;RIC;SOFT;0 days 00:01:22.338722222;2021;Spanish Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:41.467615384;2021;Russian Grand Prix
McLaren;PIA;HARD;0 days 00:01:18.764808510;2023;Monaco Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:23.468218750;2021;Portuguese Grand Prix
McLaren;SAI;SOFT;0 days 00:01:42.722500;2019;United States Grand Prix
McLaren;PIA;HARD;0 days 00:01:35.570166666;2023;Saudi Arabian Grand Prix
McLaren;SAI;HARD;0 days 00:01:41.374393939;2019;United States Grand Prix
McLaren;NOR;SOFT;0 days 00:01:42.587875;2019;United States Grand Prix
McLaren;RIC;INTERMEDIATE;0 days 00:01:35.030926829;2021;Turkish Grand Prix
McLaren;NOR;INTERMEDIATE;0 days 00:01:34.546654545;2021;Turkish Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:23.268444444;2019;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:37.428000;2021;Bahrain Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:39.334166666;2019;United States Grand Prix
McLaren;NOR;HARD;0 days 00:01:35.345423076;2019;Japanese Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:48.811000;2023;Azerbaijan Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:36.243937500;2019;Japanese Grand Prix
McLaren;NOR;SOFT;0 days 00:01:36.471500;2019;Japanese Grand Prix
McLaren;RIC;HARD;0 days 00:01:35.520391304;2021;Bahrain Grand Prix
McLaren;NOR;SOFT;0 days 00:01:23.701583333;2021;Portuguese Grand Prix
McLaren;RIC;HARD;0 days 00:01:22.593333333;2021;Portuguese Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:22.497139534;2021;Portuguese Grand Prix
McLaren;NOR;HARD;0 days 00:01:38.662944444;2021;Russian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:33.006300;2023;British Grand Prix
McLaren;NOR;HARD;0 days 00:01:31.070307692;2023;British Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:26.885388888;2021;Italian Grand Prix
McLaren;NOR;HARD;0 days 00:01:08.879000;2021;Austrian Grand Prix
McLaren;RIC;HARD;0 days 00:01:25.840708333;2021;Italian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:26.924100;2021;Italian Grand Prix
McLaren;PIA;HARD;0 days 00:01:17.500571428;2023;Canadian Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:18.601250;2023;Canadian Grand Prix
McLaren;SAI;SOFT;0 days 00:01:41.114666666;2019;Russian Grand Prix
McLaren;NOR;HARD;0 days 00:01:47.252540540;2023;Azerbaijan Grand Prix
McLaren;NOR;HARD;0 days 00:01:25.831380952;2021;Italian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:41.297214285;2019;Russian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:39.495083333;2019;Russian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:47.630407407;2019;Azerbaijan Grand Prix
McLaren;NOR;SOFT;0 days 00:01:47.515928571;2019;Azerbaijan Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:47.209861111;2019;Azerbaijan Grand Prix
McLaren;SAI;SOFT;0 days 00:01:36.233333333;2019;Japanese Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:34.114884615;2019;Japanese Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:39.232440;2019;Russian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:48.258428571;2023;Azerbaijan Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:18.684571428;2023;Canadian Grand Prix
McLaren;NOR;HARD;0 days 00:01:17.469780;2023;Canadian Grand Prix
McLaren;NOR;HARD;0 days 00:01:22.332902439;2023;Australian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:24.678000;2023;Australian Grand Prix
McLaren;PIA;HARD;0 days 00:01:22.745487804;2023;Australian Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:24.825333333;2023;Australian Grand Prix
McLaren;NOR;HARD;0 days 00:01:09.577526315;2021;Styrian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:10.950840;2021;Styrian Grand Prix
McLaren;RIC;HARD;0 days 00:01:09.896333333;2021;Styrian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:11.171571428;2021;Styrian Grand Prix
McLaren;RIC;HARD;0 days 00:01:15.415480;2021;Dutch Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:10.254071428;2021;Austrian Grand Prix
McLaren;RIC;HARD;0 days 00:01:09.367710526;2021;Austrian Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:09.780041666;2021;Austrian Grand Prix
McLaren;PIA;HARD;0 days 00:01:47.380513513;2023;Azerbaijan Grand Prix
McLaren;NOR;HARD;0 days 00:01:42.882236842;2020;Abu Dhabi Grand Prix
McLaren;NOR;SOFT;0 days 00:01:44.748777777;2020;Abu Dhabi Grand Prix
McLaren;SAI;HARD;0 days 00:01:42.946357142;2020;Abu Dhabi Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:44.527500;2020;Abu Dhabi Grand Prix
McLaren;RIC;HARD;0 days 00:01:23.297366666;2021;Hungarian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:36.617941176;2021;Bahrain Grand Prix
McLaren;NOR;HARD;0 days 00:01:41.348150;2019;United States Grand Prix
McLaren;RIC;HARD;0 days 00:01:39.309972222;2021;French Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:43.735750;2021;United States Grand Prix
McLaren;NOR;HARD;0 days 00:01:41.456261904;2021;United States Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:18.074425531;2019;Monaco Grand Prix
McLaren;SAI;SOFT;0 days 00:01:15.110869565;2019;Brazilian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:40.932500;2021;French Grand Prix
McLaren;SAI;SOFT;0 days 00:01:18.574307692;2019;Monaco Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:33.038562500;2021;British Grand Prix
McLaren;NOR;HARD;0 days 00:01:32.129482758;2021;British Grand Prix
McLaren;SAI;SOFT;0 days 00:01:23.560272727;2019;Mexican Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:21.140058823;2019;Mexican Grand Prix
McLaren;SAI;HARD;0 days 00:01:22.558000;2019;Mexican Grand Prix
McLaren;NOR;HARD;0 days 00:01:20.940916666;2023;Spanish Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:20.059166666;2023;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:15.186090909;2019;Brazilian Grand Prix
McLaren;NOR;SOFT;0 days 00:01:18.839214285;2023;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:17.324466666;2019;Monaco Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:18.810900;2019;Monaco Grand Prix
McLaren;RIC;HARD;0 days 00:01:32.280741935;2021;British Grand Prix
McLaren;RIC;HARD;0 days 00:01:41.455902439;2021;United States Grand Prix
McLaren;NOR;HARD;0 days 00:01:46.785343750;2021;Azerbaijan Grand Prix
McLaren;NOR;SOFT;0 days 00:01:48.855500;2021;Azerbaijan Grand Prix
McLaren;RIC;HARD;0 days 00:01:46.858928571;2021;Azerbaijan Grand Prix
McLaren;RIC;SOFT;0 days 00:01:48.739800;2021;Azerbaijan Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:24.326523809;2023;Hungarian Grand Prix
McLaren;PIA;HARD;0 days 00:01:24.487750;2023;Hungarian Grand Prix
McLaren;NOR;HARD;0 days 00:01:47.302269230;2019;Singapore Grand Prix
McLaren;PIA;HARD;0 days 00:01:20.576050;2023;Spanish Grand Prix
McLaren;NOR;SOFT;0 days 00:01:49.089000;2019;Singapore Grand Prix
McLaren;NOR;HARD;0 days 00:01:24.154291666;2023;Hungarian Grand Prix
McLaren;NOR;HARD;0 days 00:01:10.032060;2023;Austrian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:33.778857142;2021;British Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:10.837400;2023;Austrian Grand Prix
McLaren;PIA;HARD;0 days 00:01:10.884750;2023;Austrian Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:10.702187500;2023;Austrian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:43.112222222;2021;United States Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:23.822384615;2023;Hungarian Grand Prix
McLaren;RIC;SOFT;0 days 00:01:20.024346153;2021;Emilia Romagna Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:13.892407407;2019;Brazilian Grand Prix
McLaren;SAI;SOFT;0 days 00:01:49.891000;2019;Azerbaijan Grand Prix
McLaren;RIC;HARD;0 days 00:01:16.247729729;2021;Monaco Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:35.420964285;2023;Saudi Arabian Grand Prix
McLaren;SAI;SOFT;0 days 00:00:58.797428571;2020;Sakhir Grand Prix
McLaren;SAI;HARD;0 days 00:01:48.804882352;2019;Singapore Grand Prix
McLaren;NOR;SOFT;0 days 00:01:16.690440;2021;Monaco Grand Prix
McLaren;SAI;SOFT;0 days 00:01:21.620692307;2019;Spanish Grand Prix
McLaren;SAI;MEDIUM;0 days 00:00:57.868166666;2020;Sakhir Grand Prix
McLaren;NOR;HARD;0 days 00:01:15.492255319;2021;Monaco Grand Prix
McLaren;NOR;HARD;0 days 00:01:38.507500;2021;French Grand Prix
McLaren;NOR;MEDIUM;0 days 00:00:58.268867924;2020;Sakhir Grand Prix
McLaren;NOR;SOFT;0 days 00:00:59.070888888;2020;Sakhir Grand Prix
McLaren;SAI;MEDIUM;0 days 00:01:46.775615384;2019;Singapore Grand Prix
McLaren;RIC;SOFT;0 days 00:01:37.689000;2021;Bahrain Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:40.615047619;2021;French Grand Prix
McLaren;PIA;SOFT;0 days 00:01:21.300500;2023;Spanish Grand Prix
McLaren;PIA;MEDIUM;0 days 00:01:19.498960;2023;Spanish Grand Prix
McLaren;NOR;HARD;0 days 00:01:36.099384615;2023;Saudi Arabian Grand Prix
McLaren;RIC;MEDIUM;0 days 00:01:17.457608695;2021;Monaco Grand Prix
McLaren;NOR;MEDIUM;0 days 00:01:13.831714285;2019;Brazilian Grand Prix
Mercedes;HAM;HARD;0 days 00:01:17.493882352;2022;Canadian Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:33.059294117;2021;British Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:37.062870967;2019;Bahrain Grand Prix
Mercedes;HAM;HARD;0 days 00:01:30.776208333;2021;British Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:49.710142857;2022;Azerbaijan Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:22.866600;2021;Portuguese Grand Prix
Mercedes;RUS;HARD;0 days 00:01:48.599105263;2022;Azerbaijan Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:18.626142857;2022;Canadian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:50.478857142;2022;Azerbaijan Grand Prix
Mercedes;HAM;HARD;0 days 00:01:49.103846153;2022;Azerbaijan Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:18.738416666;2019;German Grand Prix
Mercedes;RUS;HARD;0 days 00:01:17.463404761;2022;Canadian Grand Prix
Mercedes;BOT;SOFT;0 days 00:01:20.345500;2021;Portuguese Grand Prix
Mercedes;HAM;HARD;0 days 00:01:21.423178571;2021;Portuguese Grand Prix
Mercedes;RUS;SOFT;0 days 00:01:14.325333333;2022;Dutch Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:16.629542857;2022;Dutch Grand Prix
Mercedes;RUS;HARD;0 days 00:01:15.495200;2022;Dutch Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:39.518117647;2023;Japanese Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:16.131863636;2022;Dutch Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:18.788571428;2022;Canadian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:35.732421052;2019;Bahrain Grand Prix
Mercedes;BOT;HARD;0 days 00:01:08.356000;2020;Austrian Grand Prix
Mercedes;BOT;HARD;0 days 00:01:31.587103448;2021;British Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:50.192000;2020;Belgian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:18.814148148;2021;Emilia Romagna Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:51.538153846;2022;Singapore Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:41.266045454;2019;United States Grand Prix
Mercedes;HAM;HARD;0 days 00:01:48.633400;2020;Belgian Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:50.420200;2020;Belgian Grand Prix
Mercedes;BOT;HARD;0 days 00:01:48.892000;2020;Belgian Grand Prix
Mercedes;BOT;HARD;0 days 00:01:21.591400;2021;Portuguese Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:09.652653846;2021;Austrian Grand Prix
Mercedes;HAM;HARD;0 days 00:01:39.549967741;2019;United States Grand Prix
Mercedes;HAM;HARD;0 days 00:01:09.193388888;2021;Austrian Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:09.866520;2021;Austrian Grand Prix
Mercedes;BOT;HARD;0 days 00:01:08.903925;2021;Austrian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:27.289172413;2022;Italian Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:25.286230769;2022;Italian Grand Prix
Mercedes;RUS;HARD;0 days 00:01:25.805545454;2022;Italian Grand Prix
Mercedes;RUS;SOFT;0 days 00:01:26.718500;2022;Italian Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:36.959375;2019;Bahrain Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:17.948633333;2022;Monaco Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:23.273250;2020;Spanish Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:21.920750;2020;Spanish Grand Prix
Mercedes;BOT;SOFT;0 days 00:01:21.989117647;2020;Spanish Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:22.844043478;2020;Spanish Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:18.372909090;2022;Monaco Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:39.861333333;2019;United States Grand Prix
Mercedes;RUS;SOFT;0 days 00:01:50.712375;2022;Singapore Grand Prix
Mercedes;HAM;HARD;0 days 00:01:15.802117647;2022;Dutch Grand Prix
Mercedes;BOT;SOFT;0 days 00:01:36.605920;2019;Bahrain Grand Prix
Mercedes;BOT;HARD;0 days 00:01:40.018421052;2019;United States Grand Prix
Mercedes;HAM;HARD;0 days 00:01:33.511166666;2020;Bahrain Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:31.076444444;2019;British Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:18.226000;2020;Hungarian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:19.284791666;2023;Spanish Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:19.604638888;2023;Spanish Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:07.994527777;2020;Styrian Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:19.380666666;2023;Spanish Grand Prix
Mercedes;RUS;SOFT;0 days 00:01:19.709857142;2023;Spanish Grand Prix
Mercedes;HAM;SOFT;0 days 00:01:16.207852941;2021;Monaco Grand Prix
Mercedes;RUS;HARD;0 days 00:01:52.042500;2022;Belgian Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:53.766272727;2022;Belgian Grand Prix
Mercedes;HAM;HARD;0 days 00:01:16.220363636;2021;Monaco Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:20.587450980;2020;Hungarian Grand Prix
Mercedes;BOT;HARD;0 days 00:01:38.338171428;2021;French Grand Prix
Mercedes;RUS;MEDIUM;0 days 00:01:39.484062500;2022;French Grand Prix
Mercedes;RUS;HARD;0 days 00:01:38.544750;2022;French Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:39.361125;2022;French Grand Prix
Mercedes;HAM;HARD;0 days 00:01:38.338406250;2022;French Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:39.490333333;2021;French Grand Prix
Mercedes;HAM;HARD;0 days 00:01:38.074272727;2021;French Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:39.223941176;2021;French Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:30.978428571;2020;British Grand Prix
Mercedes;BOT;SOFT;0 days 00:01:30.086000;2020;British Grand Prix
Mercedes;HAM;HARD;0 days 00:01:29.894484848;2020;British Grand Prix
Mercedes;BOT;HARD;0 days 00:01:30.026612903;2020;British Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:30.847571428;2020;British Grand Prix
Mercedes;BOT;MEDIUM;0 days 00:01:20.640916666;2020;Hungarian Grand Prix
Mercedes;HAM;MEDIUM;0 days 00:01:21.426000;2019;Mexican Grand Prix
